,retorno_anual
A,0.07479832366117158
AAPL,0.23375249808174628
ABBV,0.23211173927990097
ABNB,0.10971085420761907
ABT,0.13081175563482206
ACGL,0.25837761168540496
ACN,0.013651807251096451
ADBE,0.11345995992488962
ADI,0.2311219050961318
ADM,-0.03970432022807802
ADP,0.11080583089626238
ADSK,0.20570478012446944
AEE,0.12164344852862091
AEP,0.1363229831014013
AES,-0.05850325388012034
AFL,0.2546986204351828
AIG,0.20051817565065522
AIZ,0.17419374030642162
AJG,0.21347156136370785
AKAM,0.013259288270793994
ALB,-0.22539690951152994
ALGN,-0.04328242581107855
ALL,0.21321531231895546
ALLE,0.2531616137553605
AMAT,0.3952089068843547
AMCR,-0.03384829201933498
AMD,0.42238563514325417
AME,0.16864780571563429
AMGN,0.1447015885032047
AMP,0.24035834149553054
AMT,0.022786068999004625
AMZN,0.25564896611932447
ANET,0.6438157373465536
AON,0.11256479645720122
AOS,0.16590471865600254
APA,-0.024998795287731086
APD,0.091823318261978
APH,0.459672454838784
APO,0.38020902432471626
APP,1.4425336958311055
APTV,0.06799140821471643
ARE,-0.08775681171848411
ATO,0.1994546239192932
AVB,0.06524579056235116
AVGO,0.7772659700031676
AVY,0.022786658926936734
AWK,0.050035300564131996
AXON,0.696285866108238
AXP,0.3259391229940903
AZO,0.24013832657556872
BA,0.2185786881569363
BAC,0.21128514557358988
BALL,0.05291198514144371
BAX,-0.20751368600506764
BBY,0.1553624660471173
BDX,-0.021320154961927407
BEN,0.10667449327989535
BG,0.05386652626056155
BIIB,-0.1357283261955526
BK,0.37435221863021706
BKNG,0.4183391005947267
BKR,0.3209805278875391
BLDR,0.3363961196682792
BLK,0.2820412044166826
BMY,-0.07162635573940655
BR,0.1848391395358437
BRO,0.1692870255765551
BSX,0.3104150512663395
BX,0.2953350803647048
BXP,0.11838071088387347
C,0.34309300377978347
CAG,-0.11999168207581833
CAH,0.3106718594391018
CARR,0.20935390189854525
CAT,0.4000060129186132
CB,0.16270417854277205
CBOE,0.26564259920568295
CBRE,0.2958951323316395
CCI,-0.06203858642617072
CCL,0.5577239260560444
CDNS,0.2974290584483016
CDW,0.03764112467023051
CEG,0.5934541068066655
CF,0.023944050428519416
CFG,0.23707076750535008
CHD,0.09099531090765445
CHRW,0.1716654071125868
CHTR,0.023288049881829146
CI,0.0750250831364951
CINF,0.23472227411136493
CL,0.06678754006557074
CLX,0.037828170937002
CMCSA,0.0627867190057073
CME,0.1880432978928861
CMG,0.14923159572236067
CMI,0.283280198808873
CMS,0.10972730341319424
CNC,-0.15764027087940122
CNP,0.13966888579872352
COF,0.3341932206310147
COIN,0.9061373430842368
COO,0.04692780134747989
COP,0.007858049617212079
COR,0.28031605871545934
COST,0.24789915169451934
CPAY,0.18957283480321646
CPB,-0.07016622094319358
CPRT,0.1823703541539952
CPT,0.009219736910431734
CRL,0.03510433051434036
CRM,0.20783822580876812
CRWD,0.4570125822311486
CSCO,0.21409850053470691
CSGP,0.09004767106719287
CSX,0.12303586915996313
CTAS,0.26012757034691464
CTRA,0.01639762328180129
CTSH,0.08509623759608473
CTVA,0.057765880022797415
CVS,0.0014868193421153834
CVX,0.05910974941542253
D,0.029303476070563734
DAL,0.28933909870733254
DASH,0.6299532925308557
DAY,0.1279143361108117
DD,0.18783754559468163
DDOG,0.2799919093787563
DE,0.13192081125939104
DECK,0.2966262617847407
DELL,0.5857728247393932
DG,-0.20215067001828343
DGX,0.15485951448119686
DHI,0.35578673561057844
DHR,-0.002958095129738774
DIS,0.08349399171758252
DLR,0.26339174488356676
DLTR,-0.07804686727252332
DOC,0.023612212020073707
DOV,0.13961859207822622
DOW,-0.11438236696887695
DPZ,0.14325421740077737
DRI,0.18809898871743802
DTE,0.10905684411950942
DUK,0.13722738524918376
DVA,0.19771474695858793
DVN,-0.12086556652899551
DXCM,0.02305950219845333
EA,0.20086863497543886
EBAY,0.3558953847863108
ECL,0.23287557346081864
